stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
de:08236:2210:0:1,Maulbronn Seehausweg,48.996595,8.799733,,de:08236:2210_Parent
de:08236:2210_Parent,Maulbronn Seehausweg,48.996514,8.799548,1,
de:08236:2211:0:1,Maulbronn Alte Post,48.998034,8.804739,,de:08236:2211_Parent
de:08236:2211:0:2,Maulbronn Alte Post,48.998003,8.804765,,de:08236:2211_Parent
de:08236:2211_Parent,Maulbronn Alte Post,48.998019,8.804752,1,
de:08236:2213:1:1,Maulbronn Kloster,49.000173,8.812243,,de:08236:2213_Parent
de:08236:2213_Parent,Maulbronn Kloster,49.000147,8.812481,1,
de:08236:2214:0:1,Maulbronn Stuttgarter Straße,49.000366,8.815517,,de:08236:2214_Parent
de:08236:2214_Parent,Maulbronn Stuttgarter Straße,49.000366,8.815517,1,
de:08236:2216:0:2,Maulbronn Schefenacker,48.996831,8.811561,,de:08236:2216_Parent
de:08236:2216_Parent,Maulbronn Schefenacker,48.996799,8.811914,1,
de:08236:2218:0:1,Zaisersweiher Postplatz,49.006209,8.858404,,de:08236:2218_Parent
de:08236:2218_Parent,Zaisersweiher Postplatz,49.006216,8.858526,1,
de:08236:2219:0:1,Schmie Strombergstraße,48.984160,8.828856,,de:08236:2219_Parent
de:08236:2219_Parent,Schmie Strombergstraße,48.984199,8.828797,1,
de:08236:2224:0:1,Zaisersweiher Eichbuschstraße,49.009624,8.858990,,de:08236:2224_Parent
de:08236:2224_Parent,Zaisersweiher Eichbuschstraße,49.009637,8.858892,1,
de:08236:2227:0:1,Maulbronn Talweg,48.995041,8.796809,,de:08236:2227_Parent
de:08236:2227_Parent,Maulbronn Talweg,48.995053,8.796780,1,
de:08236:2603:0:1,Großglattbach Rathaus,48.913254,8.897135,,de:08236:2603_Parent
de:08236:2603_Parent,Großglattbach Rathaus,48.913267,8.897070,1,
de:08236:2604:0:1,Großglattbach Kelter,48.914966,8.898169,,de:08236:2604_Parent
de:08236:2604_Parent,Großglattbach Kelter,48.915004,8.898112,1,
de:08236:2607:0:1,Pinache Gewerbegebiet,48.909276,8.847742,,de:08236:2607_Parent
de:08236:2607:0:2,Pinache Gewerbegebiet,48.909357,8.847660,,de:08236:2607_Parent
de:08236:2607_Parent,Pinache Gewerbegebiet,48.909317,8.847701,1,
de:08236:2608:0:1,Pinache Kirche,48.906937,8.849055,,de:08236:2608_Parent
de:08236:2608_Parent,Pinache Kirche,48.907142,8.849053,1,
de:08236:2900:0:1,Wiernsheim Mühlstraße,48.891709,8.852949,,de:08236:2900_Parent
de:08236:2900:0:2,Wiernsheim Mühlstraße,48.891206,8.852751,,de:08236:2900_Parent
de:08236:2900_Parent,Wiernsheim Mühlstraße,48.891458,8.852850,1,
de:08236:2901:0:1,Wiernsheim Bürgersaal,48.890697,8.848517,,de:08236:2901_Parent
de:08236:2901_Parent,Wiernsheim Bürgersaal,48.890601,8.848445,1,
de:08236:2902:0:1,Wiernsheim Lindenhalle,48.885917,8.849924,,de:08236:2902_Parent
de:08236:2902_Parent,Wiernsheim Lindenhalle,48.885996,8.850014,1,
de:08236:2903:0:2,Wiernsheim Krügele,48.883531,8.850941,,de:08236:2903_Parent
de:08236:2903_Parent,Wiernsheim Krügele,48.883352,8.851011,1,
de:08236:2904:0:1,Serres Pinascastraße,48.894102,8.871905,,de:08236:2904_Parent
de:08236:2904_Parent,Serres Pinascastraße,48.894155,8.871918,1,
de:08236:2905:0:1,Serres Rathaus,48.894007,8.875515,,de:08236:2905_Parent
de:08236:2905_Parent,Serres Rathaus,48.894064,8.875497,1,
de:08236:2906:0:1,Iptingen Schönblickstraße,48.888022,8.897464,,de:08236:2906_Parent
de:08236:2906_Parent,Iptingen Schönblickstraße,48.888307,8.897034,1,
de:08236:2908:0:1,Serres Schillerstrasse,48.890927,8.876225,,de:08236:2908_Parent
de:08236:2908_Parent,Serres Schillerstrasse,48.890882,8.876256,1,
de:08236:2914:0:1,Iptingen Ortsmitte,48.886900,8.897622,,de:08236:2914_Parent
de:08236:2914_Parent,Iptingen Ortsmitte,48.886857,8.897732,1,
de:08236:2918:0:1,Wiernsheim Friedhof,48.888857,8.853056,,de:08236:2918_Parent
de:08236:2918_Parent,Wiernsheim Friedhof,48.888952,8.852914,1,
de:08236:4001:0:1,Pinache Großglattbacher Straße,48.909855,8.850970,,de:08236:4001_Parent
de:08236:4001_Parent,Pinache Großglattbacher Straße,48.909810,8.850909,1,
de:08236:4002:0:1,Großglattbach Panorama-/Heerstraße,48.910168,8.894241,,de:08236:4002_Parent
de:08236:4002_Parent,Großglattbach Panorama-/Heerstraße,48.910168,8.894241,1,
de:08236:4003:0:1,Großglattbach Iptinger Weg,48.911652,8.895561,,de:08236:4003_Parent
de:08236:4003_Parent,Großglattbach Iptinger Weg,48.911652,8.895561,1,
de:08236:4005:0:1,Großglattbach Fronackerweg,48.914800,8.895624,,de:08236:4005_Parent
de:08236:4005_Parent,Großglattbach Fronackerweg,48.914800,8.895624,1,
de:08236:4006:0:1,Großglattbach Marsstraße,48.915166,8.894033,,de:08236:4006_Parent
de:08236:4006_Parent,Großglattbach Marsstraße,48.915166,8.894033,1,
